Circles: 500
# ID : center_x center_y radius
67 : 8.671449 1.04183 0.050604
68 : 6.811422 9.565893 0.109379
69 : 2.049521 6.29779 0.154421
70 : 0.316166 3.799342 0.133171
71 : 0.050756 3.047874 0.134379
72 : 3.729323 8.728712 0.101785
73 : 3.417304 4.627022 0.145468
74 : 9.007303 5.742491 0.110666
75 : 4.122233 2.373031 0.103092
76 : 8.054143 5.983881 0.066365
77 : 6.354128 3.82154 0.179468
78 : 4.288167 1.223253 0.188302
79 : 2.354345 9.483013 0.065104
80 : 3.170892 3.183672 0.169684
81 : 1.782159 2.742174 0.165775
82 : 1.842806 2.038723 0.122358
83 : 4.498834 1.907769 0.107981
84 : 5.227222 3.917773 0.140141
85 : 0.002875 8.318986 0.158061
86 : 9.03054 6.289978 0.134961
87 : 5.551695 7.344708 0.087643
88 : 7.701102 2.429462 0.079567
89 : 9.157019 2.021403 0.10574
90 : 5.184752 0.132626 0.185718
91 : 7.600904 8.383726 0.129274
92 : 4.133126 5.445661 0.128391
93 : 3.961705 4.380304 0.196581
94 : 9.280102 0.663768 0.139239
95 : 9.575323 2.465735 0.074169
96 : 0.663993 9.737244 0.107972
97 : 5.441678 8.275124 0.050104
98 : 5.983427 3.459033 0.13947
99 : 7.735549 1.368536 0.064834
100 : 0.983114 3.19216 0.059556
101 : 6.799898 5.882506 0.159275
102 : 9.114286 3.812009 0.176643
103 : 9.094144 5.27779 0.107141
104 : 5.075458 3.217863 0.089337
105 : 6.284916 0.587182 0.181463
106 : 9.465574 7.904453 0.052042
107 : 7.836115 1.588808 0.096466
108 : 3.269899 7.202982 0.05767
109 : 3.683407 7.014345 0.051358
110 : 1.541509 8.145291 0.168613
111 : 2.004525 0.057877 0.091176
112 : 6.395522 9.531453 0.126873
113 : 3.530369 4.919333 0.188321
114 : 4.44216 9.374844 0.095231
115 : 9.332711 4.864114 0.06745
116 : 2.509378 5.112062 0.176206
117 : 0.174517 3.106878 0.159374
118 : 9.827593 2.355262 0.123435
119 : 1.003858 1.843997 0.080922
120 : 7.154905 2.486978 0.179687
121 : 9.582545 3.840748 0.071788
122 : 3.135096 1.548675 0.178748
123 : 7.414071 8.294348 0.096538
124 : 3.914452 0.194944 0.146425
125 : 0.959274 2.509759 0.072918
126 : 9.146352 2.749493 0.060883
127 : 3.889808 5.999769 0.171804
128 : 7.824586 7.818471 0.12559
129 : 5.559536 9.114235 0.094231
130 : 9.824824 5.827106 0.142524
131 : 9.583142 3.877206 0.11295
132 : 3.844225 9.891353 0.109411
133 : 8.485026 7.839735 0.086402
134 : 6.832333 1.01777 0.134862
135 : 5.32065 4.15996 0.146851
136 : 7.812517 4.980424 0.139763
137 : 5.966823 4.396141 0.139059
138 : 7.663371 8.277075 0.091945
139 : 8.016009 5.072954 0.067158
140 : 4.681083 4.965168 0.193752
141 : 9.389552 0.207017 0.190112
142 : 0.93877 7.909086 0.170131
143 : 2.774273 7.212808 0.135048
144 : 3.265168 7.675722 0.13781
145 : 7.982188 6.631311 0.086689
146 : 8.717595 6.629859 0.170455
147 : 5.541437 4.930419 0.133396
148 : 2.901572 6.715199 0.085285
149 : 5.798946 2.889767 0.174689
150 : 9.707884 0.410481 0.184414
151 : 6.477556 8.286098 0.116837
152 : 8.590026 2.562503 0.169801
153 : 3.535329 8.267426 0.059404
154 : 6.661674 2.752283 0.164379
155 : 8.031389 3.561183 0.09193
156 : 1.477796 7.311317 0.0697
157 : 2.741311 3.205103 0.172527
158 : 7.529245 4.019214 0.064007
159 : 3.992642 4.329059 0.177444
160 : 6.66279 1.503168 0.106256
161 : 2.598624 5.066253 0.177632
162 : 7.033952 9.625521 0.142008
163 : 1.828198 6.526772 0.131838
164 : 6.438428 0.653351 0.063058
165 : 0.585579 1.834263 0.176894
166 : 0.439205 1.724186 0.175903
167 : 0.545388 6.336889 0.111325
168 : 2.61421 7.031815 0.105724
169 : 6.831369 4.811785 0.075124
170 : 0.936034 1.918288 0.059988
171 : 1.21498 0.164075 0.164054
172 : 3.692221 5.163445 0.080306
173 : 7.375894 6.644533 0.120092
174 : 5.542939 0.179617 0.182386
175 : 4.123878 0.011307 0.05046
176 : 5.357102 6.81926 0.069443
177 : 5.393502 8.590579 0.077874
178 : 1.994631 3.756766 0.199424
179 : 4.913157 5.435235 0.199928
180 : 9.192737 2.337422 0.125725
181 : 7.38789 8.27372 0.146017
182 : 4.337586 1.798335 0.119146
183 : 5.849411 1.049917 0.139376
184 : 2.80139 2.958804 0.179272
185 : 5.503814 2.609403 0.143411
186 : 3.405956 3.897621 0.159706
187 : 1.744878 6.162503 0.097879
188 : 6.855499 0.371423 0.087544
189 : 6.714264 6.640514 0.156685
190 : 7.425194 5.240247 0.092606
191 : 8.895968 4.541656 0.074228
192 : 6.786561 1.732552 0.184915
193 : 8.224758 3.506176 0.174423
194 : 1.361992 1.003791 0.060735
195 : 8.258555 1.535604 0.183462
196 : 9.59316 2.236653 0.071276
197 : 9.526327 8.972266 0.153108
198 : 9.088663 3.15571 0.170306
199 : 8.841337 6.350527 0.099771
200 : 6.821629 1.111767 0.132131
201 : 4.882501 0.193415 0.060913
202 : 7.962924 2.860363 0.111787
203 : 0.798432 9.246286 0.084825
204 : 0.412025 4.911534 0.172402
205 : 6.85738 1.976728 0.093022
206 : 5.242938 8.054761 0.145623
207 : 2.496935 5.984353 0.185228
208 : 8.364623 4.210263 0.078346
209 : 1.116047 7.399411 0.07841
210 : 2.880175 7.093923 0.163461
211 : 9.024351 2.260391 0.055878
212 : 6.044068 2.647657 0.187461
213 : 0.594184 6.452262 0.097554
214 : 2.264322 6.456907 0.068549
215 : 4.078114 0.868685 0.199791
216 : 5.390181 2.770878 0.052301
217 : 8.379352 1.766853 0.132574
218 : 1.066877 1.000793 0.054945
219 : 0.609245 9.583419 0.177817
220 : 4.774045 7.374256 0.186802
221 : 2.056423 2.297418 0.090555
222 : 0.383825 0.940664 0.196122
223 : 4.285204 1.413344 0.111011
224 : 0.509927 0.342904 0.097762
225 : 5.894201 3.839575 0.076112
226 : 8.115745 1.316035 0.179021
227 : 3.866908 1.118886 0.126812
228 : 4.872606 3.888312 0.062897
229 : 1.121845 4.852578 0.159173
230 : 4.791615 2.671621 0.078914
231 : 6.916589 7.117032 0.139398
232 : 6.959904 5.118622 0.180242
233 : 1.317537 3.845519 0.0745
234 : 1.197733 0.294297 0.143783
235 : 1.122997 4.21032 0.092651
236 : 8.995532 7.90792 0.176189
237 : 0.568053 7.270777 0.199258
238 : 8.690101 4.527442 0.090819
239 : 5.77221 3.532593 0.084372
240 : 3.205852 0.752492 0.157082
241 : 1.816772 4.480897 0.056505
242 : 8.804756 1.534673 0.098616
243 : 2.194113 6.457761 0.133835
244 : 4.650901 7.688792 0.132957
245 : 0.588509 1.074726 0.093843
246 : 4.440381 9.480697 0.081082
247 : 6.351682 2.71471 0.141944
248 : 0.674136 0.202845 0.18831
249 : 2.072035 4.693039 0.138669
250 : 0.693696 8.951678 0.062633
251 : 5.200328 1.906521 0.093404
252 : 2.62398 1.228259 0.100346
253 : 0.930488 8.714526 0.125587
254 : 2.769278 3.262006 0.118089
255 : 1.879791 3.651624 0.092587
256 : 7.23657 5.028348 0.071631
257 : 7.132964 3.730686 0.074537
258 : 2.719831 2.19089 0.08427
259 : 8.119405 2.839359 0.066502
260 : 9.972842 3.56544 0.115356
261 : 9.605107 3.027713 0.151476
262 : 0.547019 3.748356 0.179216
263 : 2.474932 6.18637 0.114884
264 : 0.433523 6.227846 0.071038
265 : 2.632656 7.051676 0.162758
266 : 1.087329 4.740566 0.120382
267 : 0.395883 3.605592 0.18771
268 : 9.888189 0.79052 0.144014
269 : 9.294179 7.266024 0.051028
270 : 1.424837 7.236968 0.075916
271 : 7.788736 5.288763 0.173654
272 : 0.391015 1.783327 0.085736
273 : 0.48229 5.842801 0.199374
274 : 8.878466 0.387333 0.198526
275 : 8.083701 2.764705 0.145898
276 : 0.637841 0.194416 0.163181
277 : 5.569731 0.469068 0.104422
278 : 8.33189 4.07301 0.126292
279 : 2.436162 4.579145 0.075251
280 : 2.966635 0.236174 0.190572
281 : 6.214087 0.15846 0.09844
282 : 5.273897 8.385756 0.191069
283 : 3.643559 7.296196 0.157522
284 : 5.354583 4.469836 0.1181
285 : 4.322466 7.688725 0.116069
286 : 7.562307 9.693075 0.072723
287 : 0.545607 0.012152 0.113505
288 : 4.873513 9.133766 0.068144
289 : 0.065268 6.963559 0.14819
290 : 8.528215 3.702222 0.098622
291 : 9.143303 1.490609 0.090001
292 : 9.276038 2.374235 0.106568
293 : 2.444138 8.634128 0.106813
294 : 6.956545 8.645341 0.083858
295 : 7.101802 9.98309 0.136769
296 : 2.069802 7.163955 0.118913
297 : 4.496653 5.252576 0.050866
298 : 9.920455 3.092403 0.110219
299 : 3.705748 2.506715 0.055391
300 : 0.348984 5.377194 0.117635
301 : 3.002297 9.597924 0.084519
302 : 7.46029 5.088967 0.0541
303 : 4.31699 5.65031 0.121317
304 : 8.74908 5.79565 0.162383
305 : 1.756021 3.443685 0.17013
306 : 1.969018 3.289786 0.071574
307 : 2.753094 1.254664 0.15715
308 : 7.561626 8.240592 0.194581
309 : 8.165532 8.101106 0.129197
310 : 7.516975 7.805967 0.123382
311 : 2.048679 2.155071 0.054289
312 : 6.16264 5.491949 0.09771
313 : 7.663509 0.603698 0.14525
314 : 4.366192 2.584172 0.082823
315 : 6.867995 0.388677 0.087298
316 : 0.625079 5.711123 0.152576
317 : 3.037859 7.287178 0.134086
318 : 5.84914 6.486283 0.124381
319 : 1.781965 9.480378 0.150715
320 : 8.212675 0.423242 0.101335
321 : 8.878748 5.123069 0.10126
322 : 4.864161 1.959532 0.107728
323 : 2.841488 6.891687 0.178784
324 : 7.824903 3.140402 0.061029
325 : 7.178628 1.203943 0.120053
326 : 2.071528 6.166131 0.112636
327 : 1.139111 5.046446 0.134141
328 : 6.977232 6.326709 0.094939
329 : 2.396857 3.971203 0.110119
330 : 1.598956 3.660283 0.175685
331 : 5.783281 9.604366 0.058608
332 : 4.628932 8.46597 0.163294
333 : 2.092538 9.290504 0.132499
334 : 7.267593 6.441808 0.16195
335 : 6.051701 0.942276 0.152381
336 : 3.954852 9.191332 0.180709
337 : 4.811715 0.503111 0.136745
338 : 5.133396 6.981614 0.199648
339 : 5.405106 3.613213 0.159172
340 : 4.112599 0.453121 0.134147
341 : 4.431144 4.231514 0.185912
342 : 5.369002 6.815787 0.093899
343 : 7.361885 1.205276 0.156033
344 : 6.644304 0.817988 0.168812
345 : 4.334223 5.289757 0.124231
346 : 3.853673 8.675393 0.159942
347 : 6.167529 7.657243 0.129204
348 : 5.25068 8.186699 0.10771
349 : 1.763041 1.428393 0.154933
350 : 3.770598 2.450569 0.150756
351 : 3.795562 2.01659 0.092483
352 : 1.082606 5.360911 0.062562
353 : 5.411041 3.364046 0.192893
354 : 6.634529 6.536549 0.196684
355 : 4.361305 0.446584 0.135986
356 : 4.123664 6.427143 0.064778
357 : 8.34375 3.404844 0.128182
358 : 0.844531 4.038137 0.184588
359 : 1.412614 1.798141 0.070253
360 : 2.991405 6.54533 0.160272
361 : 5.902352 0.836882 0.132146
362 : 1.926533 9.2423 0.129951
363 : 2.460723 7.366982 0.152996
364 : 3.152286 0.46074 0.104831
365 : 6.560019 4.230829 0.163291
366 : 8.259183 2.081871 0.050197
367 : 0.432977 7.048923 0.068808
368 : 3.598679 3.003953 0.161687
369 : 1.37442 9.873777 0.178623
370 : 7.98519 7.083374 0.054113
371 : 7.9787 8.013293 0.191074
372 : 8.419366 4.285277 0.089718
373 : 2.838085 9.69345 0.167221
374 : 1.888173 4.516253 0.11986
375 : 5.861268 0.330801 0.196602
376 : 2.219111 6.605438 0.163889
377 : 8.52549 7.910918 0.181952
378 : 7.963672 5.433738 0.12256
379 : 0.972751 9.029226 0.112989
380 : 7.103229 3.969268 0.072235
381 : 3.705212 3.501773 0.114436
382 : 8.42132 7.121904 0.1678
383 : 0.752099 0.532953 0.1602
384 : 5.808698 6.789827 0.14927
385 : 9.033452 5.232726 0.146448
386 : 6.326414 8.050201 0.195836
387 : 4.299948 9.230083 0.199979
388 : 6.781667 9.474671 0.062041
389 : 1.826625 0.092114 0.172417
390 : 3.677969 5.621761 0.124081
391 : 5.27947 2.056752 0.16756
392 : 1.726995 5.61114 0.146548
393 : 9.030436 4.545246 0.079174
394 : 8.457218 0.470798 0.090639
395 : 5.129694 4.773169 0.089897
396 : 3.609266 0.934111 0.193968
397 : 1.692927 3.028017 0.078309
398 : 9.398603 2.319626 0.139291
399 : 7.976474 0.594638 0.11129
400 : 3.813419 2.139538 0.188136
401 : 7.072332 4.678867 0.165753
402 : 7.842227 4.31147 0.09312
403 : 4.244774 1.914503 0.155837
404 : 6.7958 7.011083 0.129086
405 : 2.727396 9.343094 0.190625
406 : 5.771192 6.418672 0.179152
407 : 1.047808 0.509015 0.125311
408 : 3.764028 2.018621 0.15436
409 : 1.354113 8.579119 0.188723
410 : 4.413312 4.535417 0.151324
411 : 0.093549 2.276026 0.097585
412 : 6.964721 6.071221 0.185031
413 : 7.860034 3.590578 0.152708
414 : 0.86866 9.575235 0.064575
415 : 1.047516 5.607986 0.101406
416 : 8.599163 6.133007 0.161868
417 : 4.732451 8.299553 0.058778
418 : 5.418049 1.150121 0.051259
419 : 1.173033 5.156984 0.101379
420 : 8.219624 7.21615 0.077522
421 : 7.101865 1.041762 0.183518
422 : 2.801735 8.7673 0.080276
423 : 3.105788 8.977812 0.051319
424 : 8.345273 9.000437 0.05511
425 : 5.158398 7.189084 0.153932
426 : 2.104357 7.922347 0.063293
427 : 4.335945 4.233001 0.110761
428 : 0.788055 4.833768 0.067158
429 : 4.461632 6.645589 0.086154
430 : 8.839853 1.41368 0.195878
431 : 1.807731 2.542425 0.058063
432 : 3.985471 3.814555 0.068522
433 : 2.996863 8.273742 0.151846
434 : 5.188767 7.602581 0.148832
435 : 7.742748 2.373518 0.075854
436 : 8.434582 0.025354 0.141807
437 : 6.381962 1.632276 0.104852
438 : 9.911243 8.267801 0.153925
439 : 4.311797 8.377448 0.196685
440 : 5.572592 8.550054 0.061521
441 : 9.404582 2.812477 0.189477
442 : 9.439002 1.297074 0.198753
443 : 3.264036 8.65467 0.185667
444 : 9.919232 2.523687 0.134112
445 : 4.690328 0.335503 0.181996
446 : 7.142619 6.009983 0.19671
447 : 3.739225 5.157315 0.184795
448 : 3.710367 0.133889 0.054088
449 : 0.19008 4.6812 0.153856
450 : 6.914954 9.621432 0.161038
451 : 4.341969 5.475149 0.062364
452 : 3.904129 6.699834 0.11165
453 : 7.064748 7.212278 0.151304
454 : 7.524648 6.756358 0.11157
455 : 7.579294 5.188695 0.145947
456 : 5.300256 1.406545 0.197025
457 : 6.964636 4.634377 0.199693
458 : 6.278932 0.012858 0.141651
459 : 2.151642 2.654144 0.172975
460 : 9.020369 5.339221 0.14421
461 : 8.947415 9.205115 0.055462
462 : 9.710873 0.641058 0.114047
463 : 2.108043 9.870799 0.177764
464 : 4.922982 0.554721 0.098051
465 : 9.383557 9.436722 0.094708
466 : 3.267571 8.059474 0.133689
467 : 1.220501 2.966031 0.051204
468 : 9.360681 4.96774 0.092222
469 : 7.823697 2.885758 0.064093
470 : 0.604787 4.662525 0.095897
471 : 5.697311 4.699368 0.084327
472 : 2.040806 9.83175 0.083493
473 : 7.406319 8.01097 0.055608
474 : 3.685361 9.870852 0.191029
475 : 8.693042 3.95613 0.060024
476 : 2.081384 1.824777 0.185332
477 : 4.980577 8.553333 0.138148
478 : 6.955258 7.016075 0.187466
479 : 6.009171 6.132501 0.184049
480 : 7.704098 2.7808 0.153621
481 : 3.777627 0.577639 0.175644
482 : 0.057953 4.023273 0.187206
483 : 4.992674 1.864406 0.126134
484 : 5.333644 2.548142 0.149416
485 : 2.063846 7.059135 0.09338
486 : 5.946 4.423682 0.182397
487 : 6.466297 9.049342 0.084379
488 : 0.37465 6.735676 0.147527
489 : 6.164611 8.615022 0.090038
490 : 0.732316 8.03803 0.127443
491 : 2.192937 6.6907 0.058963
492 : 2.288633 5.050593 0.129784
493 : 5.3716 0.487553 0.114612
494 : 5.508159 5.633419 0.063125
495 : 6.420749 3.540034 0.160251
496 : 2.622504 6.424538 0.15832
497 : 8.763121 1.783928 0.08708
498 : 6.368008 7.112069 0.08803
499 : 1.745594 8.191163 0.183201
Lines: 5
# ID : x1 y1 x2 y2
500 : 6.899393 8.105181 3.780797 3.846099
501 : 1.392958 1.450303 5.243181 2.139735
502 : 2.523395 0.694855 8.42071 6.874761
503 : 4.111927 9.147696 5.328724 9.875073
504 : 0.356447 0.803371 2.255575 9.456326
Boxes: 1000
# ID : center_x center_y width height
505 : 2.477142 3.324762 0.190592 0.158567
506 : 4.112361 6.446568 0.167109 0.166181
507 : 7.469479 9.528981 0.116706 0.11245
508 : 1.712093 5.152845 0.120324 0.081055
509 : 1.820951 4.728352 0.192463 0.144352
510 : 5.869783 3.444572 0.107976 0.157117
511 : 8.782803 2.572625 0.175334 0.076077
512 : 6.895934 9.970441 0.111577 0.098295
513 : 0.694023 4.444771 0.112505 0.094802
514 : 4.674614 6.234516 0.115605 0.07563
515 : 8.135223 8.698853 0.091026 0.117349
516 : 5.538342 2.909482 0.195665 0.134969
517 : 4.32632 2.457331 0.074713 0.108625
518 : 6.003333 8.013857 0.185626 0.156737
519 : 8.182385 1.346331 0.171215 0.141725
520 : 8.941427 8.568728 0.13 0.075808
521 : 8.295203 7.48777 0.160297 0.077246
522 : 8.303313 3.779999 0.075748 0.094501
523 : 6.439192 3.508241 0.109038 0.198483
524 : 9.262449 3.974718 0.1102 0.108698
525 : 0.479662 1.684939 0.18395 0.071113
526 : 9.199495 5.922458 0.183779 0.17532
527 : 2.67634 1.249794 0.13869 0.147465
528 : 9.709413 6.102886 0.085754 0.16918
529 : 4.939177 2.742774 0.17149 0.078172
530 : 5.079299 7.776409 0.175381 0.08621
531 : 6.727899 5.790501 0.082346 0.09453
532 : 3.355863 1.993401 0.110085 0.124725
533 : 1.010632 5.698261 0.078648 0.078991
534 : 4.454137 0.687376 0.105423 0.152368
535 : 9.498494 1.184932 0.136901 0.105431
536 : 7.475057 3.286224 0.090434 0.175553
537 : 4.351491 5.516182 0.076203 0.191647
538 : 0.31503 4.709497 0.102734 0.072821
539 : 7.40559 5.76278 0.13566 0.185858
540 : 7.000893 4.00308 0.196828 0.194829
541 : 4.175046 9.999214 0.158264 0.097376
542 : 3.552454 6.096321 0.081301 0.070403
543 : 1.510507 7.089809 0.179522 0.128152
544 : 1.503322 6.328931 0.074598 0.126573
545 : 9.967743 7.855662 0.071412 0.147006
546 : 7.386465 4.313603 0.183416 0.185283
547 : 2.765456 9.023089 0.083765 0.145909
548 : 8.782294 4.026777 0.174593 0.100524
549 : 3.057383 5.440893 0.13622 0.105734
550 : 7.943733 0.320346 0.122724 0.128296
551 : 8.355461 0.244135 0.111385 0.122909
552 : 2.603115 0.551897 0.14458 0.07768
553 : 8.493928 7.449393 0.095203 0.118515
554 : 2.804632 7.444578 0.083291 0.118724
555 : 2.27083 5.836131 0.172031 0.07062
556 : 1.276911 1.048959 0.198171 0.143126
557 : 0.142889 1.537295 0.165075 0.160927
558 : 4.040478 8.317416 0.080555 0.147818
559 : 6.466419 1.102668 0.103098 0.082831
560 : 8.184287 3.314232 0.099858 0.086127
561 : 9.616287 0.937351 0.122861 0.079983
562 : 6.272312 8.758906 0.082174 0.180282
563 : 7.193317 8.071343 0.135881 0.11443
564 : 1.036897 7.128418 0.165189 0.132231
565 : 5.739506 3.885428 0.100994 0.076906
566 : 8.603488 8.812585 0.110657 0.116241
567 : 2.74966 3.535426 0.198725 0.082722
568 : 7.277161 7.245834 0.079557 0.141082
569 : 8.358833 6.902823 0.144609 0.181484
570 : 1.887169 7.656453 0.096104 0.176704
571 : 2.457108 6.60759 0.119025 0.091864
572 : 6.853563 7.829145 0.127638 0.162513
573 : 5.632472 4.956183 0.181276 0.100091
574 : 2.981738 4.061608 0.114714 0.180135
575 : 7.929012 2.894456 0.162581 0.110851
576 : 4.211282 9.021364 0.096946 0.163931
577 : 8.6868 9.05218 0.199928 0.152513
578 : 6.734987 4.920911 0.144794 0.157771
579 : 4.309458 9.0681 0.168296 0.093828
580 : 5.705445 1.420092 0.167222 0.105874
581 : 9.062353 0.967334 0.173772 0.09213
582 : 1.040378 5.630059 0.127152 0.190044
583 : 7.956626 7.01905 0.189137 0.150792
584 : 1.630195 8.68843 0.15376 0.18149
585 : 8.965886 9.639695 0.126599 0.115407
586 : 4.44033 8.622848 0.124797 0.12788
587 : 0.07375 9.512736 0.07725 0.117352
588 : 8.85907 4.392991 0.109061 0.073231
589 : 7.465154 6.84009 0.088111 0.138517
590 : 1.468329 8.209605 0.184735 0.135504
591 : 6.77874 0.292828 0.090248 0.165021
592 : 7.625091 4.909137 0.172388 0.090905
593 : 7.594166 5.149624 0.196562 0.131908
594 : 6.914956 9.660329 0.084889 0.196105
595 : 4.966304 8.677464 0.097707 0.07665
596 : 8.06766 3.167885 0.104268 0.105866
597 : 9.024017 6.654128 0.147065 0.112687
598 : 7.798656 2.008899 0.116283 0.16077
599 : 2.007608 1.869929 0.172632 0.163515
600 : 0.548311 5.462304 0.134299 0.189823
601 : 2.631387 5.715115 0.121189 0.195239
602 : 4.404911 3.338794 0.136349 0.182984
603 : 1.034977 4.854741 0.117189 0.16833
604 : 5.603992 6.300839 0.176573 0.0983
605 : 7.38189 7.430873 0.078912 0.098666
606 : 0.262 3.428009 0.129072 0.079094
607 : 7.292903 1.819221 0.14342 0.076691
608 : 0.355555 5.815091 0.125088 0.196149
609 : 1.609495 0.788394 0.077001 0.091689
610 : 0.293086 5.899751 0.162364 0.103409
611 : 3.175331 7.794642 0.12907 0.185546
612 : 2.871837 6.967399 0.08397 0.089989
613 : 2.251879 7.338668 0.082984 0.155159
614 : 6.93873 9.232559 0.09105 0.131607
615 : 8.578104 2.204319 0.173937 0.135585
616 : 1.430133 6.242275 0.120804 0.092871
617 : 9.327561 8.32341 0.090123 0.15074
618 : 4.586307 2.064703 0.088914 0.115494
619 : 6.375645 5.476342 0.081479 0.199917
620 : 2.916407 6.052132 0.176386 0.08103
621 : 0.223159 0.639393 0.151545 0.129921
622 : 8.063817 8.57365 0.165419 0.099076
623 : 1.438699 0.209198 0.147871 0.13211
624 : 8.955808 0.260003 0.198257 0.162312
625 : 5.728219 4.172672 0.071196 0.153202
626 : 7.675636 4.424267 0.182568 0.104464
627 : 6.239828 2.798665 0.163154 0.120958
628 : 0.534959 1.063001 0.1462 0.131647
629 : 9.73235 1.602913 0.072155 0.154738
630 : 2.681272 4.138401 0.123376 0.155668
631 : 5.737606 1.948285 0.132617 0.12638
632 : 0.423646 0.219205 0.124421 0.175575
633 : 2.710888 1.899164 0.190308 0.072808
634 : 9.6935 8.6483 0.095714 0.122509
635 : 5.482888 0.899725 0.091759 0.076442
636 : 8.100105 8.465623 0.092528 0.139313
637 : 0.948707 4.915823 0.073109 0.195222
638 : 3.20492 5.093649 0.18652 0.093403
639 : 6.469947 0.400407 0.195371 0.142897
640 : 4.292826 9.531243 0.09087 0.099931
641 : 6.761994 8.843598 0.126461 0.143038
642 : 7.521905 0.658182 0.096824 0.188495
643 : 5.460151 8.763706 0.090895 0.114748
644 : 1.944214 6.411654 0.078594 0.077253
645 : 6.711651 2.718068 0.10349 0.164126
646 : 0.248379 4.499664 0.146138 0.134747
647 : 8.149023 0.634401 0.100996 0.110953
648 : 6.408911 4.577605 0.145499 0.184209
649 : 5.251773 6.545796 0.13748 0.079462
650 : 2.907859 2.381045 0.176989 0.196247
651 : 7.5699 7.304374 0.129955 0.096073
652 : 8.008203 3.869822 0.071227 0.144289
653 : 4.077572 1.751356 0.135517 0.108611
654 : 8.299694 2.960188 0.094378 0.162836
655 : 2.052997 4.718898 0.076652 0.194598
656 : 6.506605 6.503465 0.118633 0.13035
657 : 3.13403 3.645151 0.122707 0.099056
658 : 4.839061 0.09788 0.135902 0.088217
659 : 2.29067 9.294246 0.179043 0.148136
660 : 7.447774 4.733379 0.120846 0.142645
661 : 9.134498 3.500775 0.1679 0.070129
662 : 7.405177 8.819225 0.131427 0.146314
663 : 2.60385 2.910047 0.189157 0.091043
664 : 5.398241 8.227956 0.16428 0.187816
665 : 7.347155 3.64125 0.180407 0.185289
666 : 1.49898 3.356256 0.181721 0.175402
667 : 9.070196 2.772393 0.142843 0.125565
668 : 6.70962 8.590403 0.185663 0.130742
669 : 0.483113 9.684204 0.101575 0.098952
670 : 0.664647 0.72711 0.07705 0.121885
671 : 9.376872 7.089347 0.078612 0.121734
672 : 4.588715 2.541589 0.154239 0.179735
673 : 0.646935 3.040825 0.162825 0.176112
674 : 6.19099 1.961622 0.186796 0.198738
675 : 8.981203 7.074338 0.179047 0.079114
676 : 3.305719 9.227184 0.086657 0.125954
677 : 0.133231 9.221057 0.178033 0.193732
678 : 6.245431 6.954349 0.092537 0.156331
679 : 3.052574 4.606395 0.195837 0.177777
680 : 9.229164 4.564079 0.180226 0.136387
681 : 7.704582 0.90238 0.15192 0.076923
682 : 0.992538 1.593883 0.179002 0.111111
683 : 0.64107 4.458938 0.087893 0.107069
